model,violation_type,example_id,level,language,detection_success,detected_violation_type,actual_violation_type,processing_time,api_call_success
deepseek-r1-8b,SRP,SRP_3,EASY,JAVA,False,,SRP,0.78,True
deepseek-r1-8b,SRP,SRP_4,EASY,JAVA,False,,SRP,0.78,True
deepseek-r1-8b,SRP,SRP_5,MODERATE,JAVA,False,DIP,SRP,1.57,True
deepseek-r1-8b,SRP,SRP_6,MODERATE,JAVA,False,DIP,SRP,1.88,True
deepseek-r1-8b,SRP,SRP_7,MODERATE,JAVA,True,SRP,SRP,2.21,True
deepseek-r1-8b,SRP,SRP_8,MODERATE,JAVA,False,DIP,SRP,1.58,True
deepseek-r1-8b,SRP,SRP_9,HARD,JAVA,True,SRP,SRP,2.83,True
deepseek-r1-8b,SRP,SRP_10,HARD,JAVA,False,Single Responsibility (SRP),SRP,2.91,True
deepseek-r1-8b,SRP,SRP_11,HARD,JAVA,False,OCP,SRP,3.19,True
deepseek-r1-8b,SRP,SRP_12,HARD,JAVA,True,SRP,SRP,3.52,True
deepseek-r1-8b,SRP,SRP_13,EASY,PYTHON,False,,SRP,0.76,True
deepseek-r1-8b,SRP,SRP_14,EASY,PYTHON,False,,SRP,0.77,True
deepseek-r1-8b,SRP,SRP_15,EASY,PYTHON,False,,SRP,0.77,True
deepseek-r1-8b,SRP,SRP_16,EASY,PYTHON,False,,SRP,0.78,True
deepseek-r1-8b,SRP,SRP_17,MODERATE,PYTHON,True,SRP,SRP,1.87,True
deepseek-r1-8b,SRP,SRP_18,MODERATE,PYTHON,True,SRP,SRP,2.15,True
deepseek-r1-8b,SRP,SRP_19,MODERATE,PYTHON,True,SRP,SRP,2.21,True
deepseek-r1-8b,SRP,SRP_20,MODERATE,PYTHON,False,DIP,SRP,1.57,True
deepseek-r1-8b,SRP,SRP_21,HARD,PYTHON,True,SRP,SRP,2.35,True
deepseek-r1-8b,SRP,SRP_22,HARD,PYTHON,True,SRP,SRP,2.84,True
deepseek-r1-8b,SRP,SRP_23,HARD,PYTHON,True,SRP,SRP,2.69,True
deepseek-r1-8b,SRP,SRP_24,HARD,PYTHON,True,SRP,SRP,3.14,True
deepseek-r1-8b,SRP,SRP_25,EASY,KOTLIN,False,,SRP,0.75,True
deepseek-r1-8b,SRP,SRP_26,EASY,KOTLIN,False,,SRP,0.77,True
deepseek-r1-8b,SRP,SRP_27,EASY,KOTLIN,False,,SRP,0.77,True
deepseek-r1-8b,SRP,SRP_28,EASY,KOTLIN,False,,SRP,0.75,True
deepseek-r1-8b,SRP,SRP_29,MODERATE,KOTLIN,True,SRP,SRP,1.7,True
deepseek-r1-8b,SRP,SRP_30,MODERATE,KOTLIN,True,SRP,SRP,1.99,True
deepseek-r1-8b,SRP,SRP_31,MODERATE,KOTLIN,True,SRP,SRP,2.63,True
deepseek-r1-8b,SRP,SRP_32,MODERATE,KOTLIN,False,OCP,SRP,1.68,True
deepseek-r1-8b,SRP,SRP_33,HARD,KOTLIN,False,Single Responsibility (SRP),SRP,2.66,True
deepseek-r1-8b,SRP,SRP_34,HARD,KOTLIN,False,Single Responsibility (SRP),SRP,2.65,True
deepseek-r1-8b,SRP,SRP_35,HARD,KOTLIN,True,SRP,SRP,2.63,True
deepseek-r1-8b,SRP,SRP_36,HARD,KOTLIN,True,SRP,SRP,3.07,True
deepseek-r1-8b,SRP,SRP_37,EASY,CSHARP,False,,SRP,0.8,True
deepseek-r1-8b,SRP,SRP_38,EASY,CSHARP,False,,SRP,0.81,True
deepseek-r1-8b,SRP,SRP_39,EASY,CSHARP,False,,SRP,0.79,True
deepseek-r1-8b,SRP,SRP_40,EASY,CSHARP,False,,SRP,0.77,True
deepseek-r1-8b,SRP,SRP_41,MODERATE,CSHARP,False,DIP,SRP,1.63,True
deepseek-r1-8b,SRP,SRP_42,MODERATE,CSHARP,False,ISP,SRP,2.07,True
deepseek-r1-8b,SRP,SRP_43,MODERATE,CSHARP,True,SRP,SRP,2.2,True
deepseek-r1-8b,SRP,SRP_44,MODERATE,CSHARP,False,DIP,SRP,1.63,True
deepseek-r1-8b,SRP,SRP_45,HARD,CSHARP,True,SRP,SRP,2.78,True
deepseek-r1-8b,SRP,SRP_46,HARD,CSHARP,True,SRP,SRP,2.81,True
deepseek-r1-8b,SRP,SRP_47,HARD,CSHARP,False,Single Responsibility (SRP),SRP,2.91,True
deepseek-r1-8b,SRP,SRP_48,HARD,CSHARP,True,SRP,SRP,3.25,True
deepseek-r1-8b,OCP,OCP_1,EASY,CSHARP,True,OCP,OCP,1.41,True
deepseek-r1-8b,OCP,OCP_2,EASY,CSHARP,True,OCP,OCP,1.67,True
deepseek-r1-8b,OCP,OCP_3,EASY,CSHARP,True,OCP,OCP,1.55,True
deepseek-r1-8b,OCP,OCP_4,EASY,CSHARP,True,OCP,OCP,1.62,True
deepseek-r1-8b,OCP,OCP_5,HARD,CSHARP,True,OCP,OCP,3.34,True
deepseek-r1-8b,OCP,OCP_6,HARD,CSHARP,True,OCP,OCP,2.66,True
deepseek-r1-8b,OCP,OCP_7,HARD,CSHARP,True,OCP,OCP,3.54,True
deepseek-r1-8b,OCP,OCP_8,HARD,CSHARP,True,OCP,OCP,3.29,True
deepseek-r1-8b,OCP,OCP_9,MODERATE,CSHARP,True,OCP,OCP,1.95,True
deepseek-r1-8b,OCP,OCP_10,MODERATE,CSHARP,True,OCP,OCP,1.53,True
deepseek-r1-8b,OCP,OCP_11,MODERATE,CSHARP,True,OCP,OCP,2.43,True
deepseek-r1-8b,OCP,OCP_12,MODERATE,CSHARP,True,OCP,OCP,2.92,True
deepseek-r1-8b,OCP,OCP_13,EASY,JAVA,True,OCP,OCP,1.49,True
deepseek-r1-8b,OCP,OCP_14,EASY,JAVA,True,OCP,OCP,1.5,True
deepseek-r1-8b,OCP,OCP_15,EASY,JAVA,True,OCP,OCP,1.28,True
deepseek-r1-8b,OCP,OCP_16,EASY,JAVA,True,OCP,OCP,1.88,True
deepseek-r1-8b,OCP,OCP_17,HARD,JAVA,True,OCP,OCP,3.94,True
deepseek-r1-8b,OCP,OCP_18,HARD,JAVA,True,OCP,OCP,2.3,True
deepseek-r1-8b,OCP,OCP_19,HARD,JAVA,True,OCP,OCP,3.12,True
deepseek-r1-8b,OCP,OCP_20,HARD,JAVA,True,OCP,OCP,3.22,True
deepseek-r1-8b,OCP,OCP_21,MODERATE,JAVA,True,OCP,OCP,2.03,True
deepseek-r1-8b,OCP,OCP_22,MODERATE,JAVA,True,OCP,OCP,1.93,True
deepseek-r1-8b,OCP,OCP_23,MODERATE,JAVA,True,OCP,OCP,2.51,True
deepseek-r1-8b,OCP,OCP_24,MODERATE,JAVA,True,OCP,OCP,2.58,True
deepseek-r1-8b,OCP,OCP_25,EASY,KOTLIN,True,OCP,OCP,1.51,True
deepseek-r1-8b,OCP,OCP_26,EASY,KOTLIN,True,OCP,OCP,1.27,True
deepseek-r1-8b,OCP,OCP_27,EASY,KOTLIN,False,,OCP,0.83,True
deepseek-r1-8b,OCP,OCP_28,EASY,KOTLIN,True,OCP,OCP,1.52,True
deepseek-r1-8b,OCP,OCP_29,HARD,KOTLIN,True,OCP,OCP,2.91,True
deepseek-r1-8b,OCP,OCP_30,HARD,KOTLIN,True,OCP,OCP,2.2,True
deepseek-r1-8b,OCP,OCP_31,HARD,KOTLIN,True,OCP,OCP,2.99,True
deepseek-r1-8b,OCP,OCP_32,HARD,KOTLIN,False,,OCP,2.21,True
deepseek-r1-8b,OCP,OCP_33,MODERATE,KOTLIN,False,ISP,OCP,1.75,True
deepseek-r1-8b,OCP,OCP_34,MODERATE,KOTLIN,True,OCP,OCP,2.11,True
deepseek-r1-8b,OCP,OCP_35,MODERATE,KOTLIN,True,OCP,OCP,2.19,True
deepseek-r1-8b,OCP,OCP_36,MODERATE,KOTLIN,False,ISP,OCP,2.01,True
deepseek-r1-8b,OCP,OCP_37,EASY,PYTHON,True,OCP,OCP,1.57,True
deepseek-r1-8b,OCP,OCP_38,EASY,PYTHON,True,OCP,OCP,1.54,True
deepseek-r1-8b,OCP,OCP_39,EASY,PYTHON,True,OCP,OCP,1.36,True
deepseek-r1-8b,OCP,OCP_40,EASY,PYTHON,True,OCP,OCP,1.42,True
deepseek-r1-8b,OCP,OCP_41,HARD,PYTHON,True,OCP,OCP,3.1,True
deepseek-r1-8b,OCP,OCP_42,HARD,PYTHON,False,ISP,OCP,2.48,True
deepseek-r1-8b,OCP,OCP_43,HARD,PYTHON,True,OCP,OCP,3.15,True
deepseek-r1-8b,OCP,OCP_44,HARD,PYTHON,True,OCP,OCP,3.64,True
deepseek-r1-8b,OCP,OCP_45,MODERATE,PYTHON,True,OCP,OCP,2.13,True
deepseek-r1-8b,OCP,OCP_46,MODERATE,PYTHON,True,OCP,OCP,1.58,True
deepseek-r1-8b,OCP,OCP_47,MODERATE,PYTHON,True,OCP,OCP,2.37,True
deepseek-r1-8b,OCP,OCP_48,MODERATE,PYTHON,True,OCP,OCP,2.63,True
deepseek-r1-8b,ISP,ISP_1,EASY,CSHARP,True,ISP,ISP,1.89,True
deepseek-r1-8b,ISP,ISP_2,EASY,CSHARP,True,ISP,ISP,1.66,True
deepseek-r1-8b,ISP,ISP_3,EASY,CSHARP,True,ISP,ISP,1.96,True
deepseek-r1-8b,ISP,ISP_4,EASY,CSHARP,True,ISP,ISP,1.56,True
deepseek-r1-8b,ISP,ISP_5,HARD,CSHARP,True,ISP,ISP,2.53,True
deepseek-r1-8b,ISP,ISP_6,HARD,CSHARP,True,ISP,ISP,2.48,True
deepseek-r1-8b,ISP,ISP_7,HARD,CSHARP,True,ISP,ISP,2.97,True
deepseek-r1-8b,ISP,ISP_8,HARD,CSHARP,True,ISP,ISP,2.32,True
deepseek-r1-8b,ISP,ISP_9,MODERATE,CSHARP,True,ISP,ISP,1.94,True
deepseek-r1-8b,ISP,ISP_10,MODERATE,CSHARP,False,LSP,ISP,2.24,True
deepseek-r1-8b,ISP,ISP_11,MODERATE,CSHARP,False,LSP,ISP,1.97,True
deepseek-r1-8b,ISP,ISP_12,MODERATE,CSHARP,True,ISP,ISP,1.73,True
deepseek-r1-8b,ISP,ISP_13,EASY,JAVA,False,LSP,ISP,1.67,True
deepseek-r1-8b,ISP,ISP_14,EASY,JAVA,True,ISP,ISP,1.57,True
deepseek-r1-8b,ISP,ISP_15,EASY,JAVA,False,LSP,ISP,1.9,True
deepseek-r1-8b,ISP,ISP_16,EASY,JAVA,False,,ISP,0.86,True
deepseek-r1-8b,ISP,ISP_17,HARD,JAVA,True,ISP,ISP,2.5,True
deepseek-r1-8b,ISP,ISP_18,HARD,JAVA,False,,ISP,2.02,True
deepseek-r1-8b,ISP,ISP_19,HARD,JAVA,True,ISP,ISP,2.8,True
deepseek-r1-8b,ISP,ISP_20,HARD,JAVA,True,ISP,ISP,2.25,True
deepseek-r1-8b,ISP,ISP_21,MODERATE,JAVA,True,ISP,ISP,1.69,True
deepseek-r1-8b,ISP,ISP_22,MODERATE,JAVA,False,LSP,ISP,2.38,True
deepseek-r1-8b,ISP,ISP_23,MODERATE,JAVA,False,LSP,ISP,1.72,True
deepseek-r1-8b,ISP,ISP_24,MODERATE,JAVA,True,ISP,ISP,2.1,True
deepseek-r1-8b,ISP,ISP_25,EASY,KOTLIN,True,ISP,ISP,1.72,True
deepseek-r1-8b,ISP,ISP_26,EASY,KOTLIN,False,LSP,ISP,1.74,True
deepseek-r1-8b,ISP,ISP_27,EASY,KOTLIN,False,LSP,ISP,1.8,True
deepseek-r1-8b,ISP,ISP_28,EASY,KOTLIN,False,,ISP,0.86,True
deepseek-r1-8b,ISP,ISP_29,HARD,KOTLIN,False,LSP,ISP,3.53,True
deepseek-r1-8b,ISP,ISP_30,HARD,KOTLIN,False,LSP,ISP,2.72,True
deepseek-r1-8b,ISP,ISP_31,HARD,KOTLIN,False,LSP,ISP,3.66,True
deepseek-r1-8b,ISP,ISP_32,HARD,KOTLIN,True,ISP,ISP,2.19,True
deepseek-r1-8b,ISP,ISP_33,MODERATE,KOTLIN,True,ISP,ISP,2.15,True
deepseek-r1-8b,ISP,ISP_34,MODERATE,KOTLIN,False,LSP,ISP,2.57,True
deepseek-r1-8b,ISP,ISP_35,MODERATE,KOTLIN,False,LSP,ISP,1.58,True
deepseek-r1-8b,ISP,ISP_36,MODERATE,KOTLIN,True,ISP,ISP,2.05,True
deepseek-r1-8b,ISP,ISP_37,EASY,PYTHON,False,LSP,ISP,1.86,True
deepseek-r1-8b,ISP,ISP_38,EASY,PYTHON,False,LSP,ISP,1.9,True
deepseek-r1-8b,ISP,ISP_39,EASY,PYTHON,False,LSP,ISP,2.13,True
deepseek-r1-8b,ISP,ISP_40,EASY,PYTHON,False,LSP,ISP,1.77,True
deepseek-r1-8b,ISP,ISP_41,HARD,PYTHON,False,LSP,ISP,3.27,True
deepseek-r1-8b,ISP,ISP_42,HARD,PYTHON,False,LSP,ISP,3.28,True
deepseek-r1-8b,ISP,ISP_43,HARD,PYTHON,False,LSP,ISP,2.65,True
deepseek-r1-8b,ISP,ISP_44,HARD,PYTHON,True,ISP,ISP,2.06,True
deepseek-r1-8b,ISP,ISP_45,MODERATE,PYTHON,False,LSP,ISP,2.08,True
deepseek-r1-8b,ISP,ISP_46,MODERATE,PYTHON,False,LSP,ISP,2.31,True
deepseek-r1-8b,ISP,ISP_47,MODERATE,PYTHON,False,LSP,ISP,1.82,True
deepseek-r1-8b,ISP,ISP_48,MODERATE,PYTHON,False,LSP,ISP,2.34,True
deepseek-r1-8b,DIP,DIP_1,EASY,JAVA,False,OCP,DIP,1.38,True
deepseek-r1-8b,DIP,DIP_2,EASY,PYTHON,False,ISP,DIP,1.21,True
deepseek-r1-8b,DIP,DIP_3,EASY,KOTLIN,True,DIP,DIP,1.29,True
deepseek-r1-8b,DIP,DIP_4,EASY,C#,True,DIP,DIP,1.34,True
deepseek-r1-8b,DIP,DIP_5,MODERATE,JAVA,True,DIP,DIP,1.29,True
deepseek-r1-8b,DIP,DIP_6,MODERATE,PYTHON,True,DIP,DIP,1.5,True
deepseek-r1-8b,DIP,DIP_7,MODERATE,KOTLIN,True,DIP,DIP,1.38,True
deepseek-r1-8b,DIP,DIP_8,MODERATE,C#,True,DIP,DIP,1.31,True
deepseek-r1-8b,DIP,DIP_9,HARD,JAVA,False,OCP,DIP,2.08,True
deepseek-r1-8b,DIP,DIP_10,HARD,PYTHON,True,DIP,DIP,1.94,True
deepseek-r1-8b,DIP,DIP_11,HARD,KOTLIN,True,DIP,DIP,1.82,True
deepseek-r1-8b,DIP,DIP_12,HARD,C#,False,OCP,DIP,2.16,True
deepseek-r1-8b,DIP,DIP_13,EASY,JAVA,False,OCP,DIP,1.37,True
deepseek-r1-8b,DIP,DIP_14,EASY,PYTHON,False,,DIP,0.82,True
deepseek-r1-8b,DIP,DIP_15,EASY,KOTLIN,True,DIP,DIP,1.53,True
deepseek-r1-8b,DIP,DIP_16,EASY,C#,True,DIP,DIP,1.53,True
deepseek-r1-8b,DIP,DIP_17,MODERATE,JAVA,False,OCP,DIP,1.53,True
deepseek-r1-8b,DIP,DIP_18,MODERATE,PYTHON,False,OCP,DIP,1.73,True
deepseek-r1-8b,DIP,DIP_19,MODERATE,KOTLIN,False,OCP,DIP,1.88,True
deepseek-r1-8b,DIP,DIP_20,MODERATE,C#,False,OCP,DIP,1.7,True
deepseek-r1-8b,DIP,DIP_21,HARD,JAVA,False,OCP,DIP,2.95,True
deepseek-r1-8b,DIP,DIP_22,HARD,PYTHON,False,OCP,DIP,2.31,True
deepseek-r1-8b,DIP,DIP_23,HARD,KOTLIN,False,ISP,DIP,1.99,True
deepseek-r1-8b,DIP,DIP_24,HARD,C#,False,OCP,DIP,2.52,True
deepseek-r1-8b,DIP,DIP_25,EASY,JAVA,False,,DIP,0.84,True
deepseek-r1-8b,DIP,DIP_26,EASY,PYTHON,False,,DIP,0.83,True
deepseek-r1-8b,DIP,DIP_27,EASY,KOTLIN,False,OCP,DIP,1.31,True
deepseek-r1-8b,DIP,DIP_28,EASY,C#,False,,DIP,0.86,True
deepseek-r1-8b,DIP,DIP_29,MODERATE,JAVA,False,OCP,DIP,1.68,True
deepseek-r1-8b,DIP,DIP_30,MODERATE,PYTHON,False,SRP,DIP,1.52,True
deepseek-r1-8b,DIP,DIP_31,MODERATE,KOTLIN,False,OCP,DIP,1.66,True
deepseek-r1-8b,DIP,DIP_32,MODERATE,C#,False,OCP,DIP,2.11,True
deepseek-r1-8b,DIP,DIP_33,HARD,JAVA,False,ISP,DIP,1.95,True
deepseek-r1-8b,DIP,DIP_34,HARD,PYTHON,False,OCP,DIP,1.93,True
deepseek-r1-8b,DIP,DIP_35,HARD,KOTLIN,False,ISP,DIP,2.36,True
deepseek-r1-8b,DIP,DIP_36,HARD,C#,False,ISP,DIP,2.26,True
deepseek-r1-8b,DIP,DIP_37,EASY,JAVA,False,,DIP,0.86,True
deepseek-r1-8b,DIP,DIP_38,EASY,PYTHON,True,DIP,DIP,1.54,True
deepseek-r1-8b,DIP,DIP_39,EASY,KOTLIN,False,,DIP,0.86,True
deepseek-r1-8b,DIP,DIP_40,EASY,C#,False,,DIP,0.85,True
deepseek-r1-8b,DIP,DIP_41,MODERATE,JAVA,False,OCP,DIP,1.57,True
deepseek-r1-8b,DIP,DIP_42,MODERATE,PYTHON,True,DIP,DIP,1.51,True
deepseek-r1-8b,DIP,DIP_43,MODERATE,KOTLIN,False,,DIP,1.08,True
deepseek-r1-8b,DIP,DIP_44,MODERATE,C#,True,DIP,DIP,1.44,True
deepseek-r1-8b,DIP,DIP_45,HARD,JAVA,False,OCP,DIP,1.87,True
deepseek-r1-8b,DIP,DIP_46,HARD,PYTHON,False,ISP,DIP,1.85,True
deepseek-r1-8b,DIP,DIP_47,HARD,KOTLIN,False,OCP,DIP,1.74,True
deepseek-r1-8b,DIP,DIP_48,HARD,C#,False,ISP,DIP,1.87,True
gemma3-4b,LSP,LSP_1,EASY,JAVA,False,,LSP,3.85,True
gemma3-4b,LSP,LSP_2,EASY,PYTHON,False,SRP,LSP,1.13,True
gemma3-4b,LSP,LSP_3,EASY,KOTLIN,False,SRP,LSP,1.3,True
gemma3-4b,LSP,LSP_4,EASY,C#,False,,LSP,0.76,True
gemma3-4b,LSP,LSP_5,MODERATE,JAVA,False,,LSP,0.86,True
gemma3-4b,LSP,LSP_6,MODERATE,PYTHON,False,,LSP,0.9,True
gemma3-4b,LSP,LSP_7,MODERATE,KOTLIN,False,,LSP,0.86,True
gemma3-4b,LSP,LSP_8,MODERATE,C#,False,,LSP,0.94,True
gemma3-4b,LSP,LSP_9,HARD,JAVA,False,SRP,LSP,1.79,True
gemma3-4b,LSP,LSP_10,HARD,PYTHON,False,SRP,LSP,1.8,True
gemma3-4b,LSP,LSP_11,HARD,KOTLIN,False,SRP,LSP,1.55,True
gemma3-4b,LSP,LSP_12,HARD,C#,False,SRP,LSP,1.57,True
gemma3-4b,LSP,LSP_13,EASY,JAVA,False,SRP,LSP,1.23,True
gemma3-4b,LSP,LSP_14,EASY,PYTHON,False,SRP,LSP,1.15,True
gemma3-4b,LSP,LSP_15,EASY,KOTLIN,False,,LSP,0.74,True
gemma3-4b,LSP,LSP_16,EASY,C#,False,SRP,LSP,1.02,True
gemma3-4b,LSP,LSP_17,MODERATE,JAVA,False,SRP,LSP,1.64,True
gemma3-4b,LSP,LSP_18,MODERATE,PYTHON,False,,LSP,0.87,True
gemma3-4b,LSP,LSP_19,MODERATE,KOTLIN,False,,LSP,0.88,True
gemma3-4b,LSP,LSP_20,MODERATE,C#,False,SRP,LSP,1.61,True
gemma3-4b,LSP,LSP_21,HARD,JAVA,False,SRP,LSP,1.77,True
gemma3-4b,LSP,LSP_22,HARD,PYTHON,False,SRP,LSP,1.79,True
gemma3-4b,LSP,LSP_23,HARD,KOTLIN,False,SRP,LSP,1.6,True
gemma3-4b,LSP,LSP_24,HARD,C#,False,SRP,LSP,1.78,True
gemma3-4b,LSP,LSP_25,EASY,JAVA,False,SRP,LSP,1.35,True
gemma3-4b,LSP,LSP_26,EASY,PYTHON,False,SRP,LSP,1.21,True
gemma3-4b,LSP,LSP_27,EASY,KOTLIN,False,,LSP,0.82,True
gemma3-4b,LSP,LSP_28,EASY,C#,False,DIP,LSP,1.16,True
gemma3-4b,LSP,LSP_29,MODERATE,JAVA,False,SRP,LSP,1.47,True
gemma3-4b,LSP,LSP_30,MODERATE,PYTHON,False,DIP,LSP,1.49,True
gemma3-4b,LSP,LSP_31,MODERATE,KOTLIN,False,,LSP,0.94,True
gemma3-4b,LSP,LSP_32,MODERATE,C#,False,SRP,LSP,1.36,True
gemma3-4b,LSP,LSP_33,HARD,JAVA,False,SRP,LSP,1.76,True
gemma3-4b,LSP,LSP_34,HARD,PYTHON,False,Dependency Inversion,LSP,1.83,True
gemma3-4b,LSP,LSP_35,HARD,KOTLIN,False,SRP,LSP,1.85,True
gemma3-4b,LSP,LSP_36,HARD,C#,False,SRP,LSP,1.92,True
gemma3-4b,LSP,LSP_37,EASY,JAVA,False,,LSP,0.83,True
gemma3-4b,LSP,LSP_38,EASY,PYTHON,False,,LSP,0.76,True
gemma3-4b,LSP,LSP_39,EASY,KOTLIN,False,,LSP,0.76,True
gemma3-4b,LSP,LSP_40,EASY,C#,False,,LSP,0.78,True
gemma3-4b,LSP,LSP_41,MODERATE,JAVA,False,SRP,LSP,1.48,True
gemma3-4b,LSP,LSP_42,MODERATE,PYTHON,False,SRP,LSP,1.26,True
gemma3-4b,LSP,LSP_43,MODERATE,KOTLIN,False,SRP,LSP,1.19,True
gemma3-4b,LSP,LSP_44,MODERATE,C#,False,SRP,LSP,1.37,True
gemma3-4b,LSP,LSP_45,HARD,JAVA,False,SRP,LSP,1.74,True
gemma3-4b,LSP,LSP_46,HARD,PYTHON,False,SRP,LSP,1.78,True
gemma3-4b,LSP,LSP_47,HARD,KOTLIN,False,SRP,LSP,1.76,True
gemma3-4b,LSP,LSP_48,HARD,C#,False,SRP,LSP,1.87,True
gemma3-4b,SRP,SRP_1,EASY,JAVA,False,,SRP,0.78,True
gemma3-4b,SRP,SRP_2,EASY,JAVA,False,,SRP,0.75,True
gemma3-4b,SRP,SRP_3,EASY,JAVA,False,,SRP,0.79,True
gemma3-4b,SRP,SRP_4,EASY,JAVA,False,,SRP,0.81,True
gemma3-4b,SRP,SRP_5,MODERATE,JAVA,True,SRP,SRP,1.37,True
gemma3-4b,SRP,SRP_6,MODERATE,JAVA,True,SRP,SRP,1.67,True
gemma3-4b,SRP,SRP_7,MODERATE,JAVA,True,SRP,SRP,1.74,True
gemma3-4b,SRP,SRP_8,MODERATE,JAVA,False,,SRP,1.92,False
gemma3-4b,SRP,SRP_9,HARD,JAVA,True,SRP,SRP,2.04,True
gemma3-4b,SRP,SRP_10,HARD,JAVA,True,SRP,SRP,2.09,True
gemma3-4b,SRP,SRP_11,HARD,JAVA,True,SRP,SRP,2.18,True
gemma3-4b,SRP,SRP_12,HARD,JAVA,True,SRP,SRP,2.21,True
