example_id,ground_truth,level,language,on_pos1,on_pos2,off_pos1,off_pos2,on_hit2,off_hit2,flip,on_n_detected,off_n_detected,on_time,off_time
SRP_24,SRP,HARD,PYTHON,SRP,DIP,SRP,DIP,True,True,both_correct,4,5,535.2,212.11
SRP_25,SRP,EASY,KOTLIN,SRP,OCP,SRP,DIP,True,True,both_correct,2,3,31.99,46.89
SRP_26,SRP,EASY,KOTLIN,SRP,OCP,SRP,OCP,True,True,both_correct,2,2,34.75,51.69
SRP_27,SRP,EASY,KOTLIN,SRP,ISP,SRP,DIP,True,True,both_correct,3,4,35.93,53.08
SRP_28,SRP,EASY,KOTLIN,SRP,OCP,SRP,OCP,True,True,both_correct,2,2,35.17,53.4
SRP_29,SRP,MODERATE,KOTLIN,SRP,DIP,DIP,SRP,True,True,both_correct,4,4,725.23,433.18
SRP_30,SRP,MODERATE,KOTLIN,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,154.28,198.03
SRP_31,SRP,MODERATE,KOTLIN,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,148.61,186.94
SRP_32,SRP,MODERATE,KOTLIN,DIP,SRP,SRP,DIP,True,True,both_correct,4,4,128.86,157.55
SRP_33,SRP,HARD,KOTLIN,SRP,DIP,SRP,DIP,True,True,both_correct,3,5,189.63,253.76
SRP_34,SRP,HARD,KOTLIN,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,223.09,239.15
SRP_35,SRP,HARD,KOTLIN,SRP,DIP,SRP,DIP,True,True,both_correct,4,5,205.23,275.15
SRP_36,SRP,HARD,KOTLIN,DIP,ISP,DIP,ISP,False,False,both_wrong,4,4,263.22,323.35
SRP_37,SRP,EASY,CSHARP,SRP,OCP,SRP,DIP,True,True,both_correct,2,3,34.75,54.34
SRP_38,SRP,EASY,CSHARP,OCP,NONE,SRP,OCP,False,True,off_only,1,2,37.15,56.74
SRP_39,SRP,EASY,CSHARP,SRP,ISP,SRP,DIP,True,True,both_correct,3,4,34.2,54.12
SRP_40,SRP,EASY,CSHARP,SRP,OCP,DIP,SRP,True,True,both_correct,2,3,34.79,52.8
SRP_41,SRP,MODERATE,CSHARP,SRP,DIP,SRP,DIP,True,True,both_correct,4,5,126.55,159.67
SRP_42,SRP,MODERATE,CSHARP,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,166.13,216.2
SRP_43,SRP,MODERATE,CSHARP,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,182.38,234.87
SRP_44,SRP,MODERATE,CSHARP,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,113.39,147.77
SRP_45,SRP,HARD,CSHARP,SRP,DIP,DIP,SRP,True,True,both_correct,4,5,278.65,350.24
SRP_46,SRP,HARD,CSHARP,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,269.3,329.57
SRP_47,SRP,HARD,CSHARP,SRP,DIP,DIP,SRP,True,True,both_correct,4,5,207.94,262.88
SRP_48,SRP,HARD,CSHARP,SRP,ISP,SRP,DIP,True,True,both_correct,3,5,654.45,293.17
OCP_1,OCP,EASY,CSHARP,OCP,SRP,OCP,SRP,True,True,both_correct,5,5,69.08,65.93
OCP_2,OCP,EASY,CSHARP,SRP,OCP,OCP,DIP,True,True,both_correct,4,4,67.63,74.33
OCP_3,OCP,EASY,CSHARP,DIP,OCP,DIP,OCP,True,True,both_correct,3,3,60.61,77.45
OCP_4,OCP,EASY,CSHARP,OCP,DIP,OCP,SRP,True,True,both_correct,4,5,63.34,86.71
OCP_5,OCP,HARD,CSHARP,OCP,SRP,SRP,OCP,True,True,both_correct,5,5,285.05,285.76
OCP_6,OCP,HARD,CSHARP,DIP,OCP,ISP,DIP,True,False,on_only,3,5,280.3,339.83
OCP_7,OCP,HARD,CSHARP,SRP,DIP,ISP,DIP,False,False,both_wrong,4,4,329.58,316.34
OCP_8,OCP,HARD,CSHARP,NONE,NONE,SRP,DIP,False,False,both_wrong,0,5,186.24,199.6
OCP_9,OCP,MODERATE,CSHARP,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,170.37,170.45
OCP_10,OCP,MODERATE,CSHARP,SRP,DIP,SRP,OCP,False,True,off_only,3,3,106.36,129.52
OCP_11,OCP,MODERATE,CSHARP,DIP,SRP,DIP,SRP,False,False,both_wrong,4,4,227.57,288.44
OCP_12,OCP,MODERATE,CSHARP,SRP,DIP,SRP,DIP,False,False,both_wrong,4,5,176.63,280.23
OCP_13,OCP,EASY,JAVA,OCP,SRP,OCP,SRP,True,True,both_correct,5,5,76.96,75.82
OCP_14,OCP,EASY,JAVA,OCP,DIP,OCP,DIP,True,True,both_correct,4,5,64.23,78.72
OCP_15,OCP,EASY,JAVA,DIP,OCP,DIP,OCP,True,True,both_correct,2,3,55.7,70.52
OCP_16,OCP,EASY,JAVA,OCP,SRP,OCP,SRP,True,True,both_correct,4,5,82.42,102.1
OCP_17,OCP,HARD,JAVA,OCP,SRP,OCP,SRP,True,True,both_correct,5,5,153.29,169.97
OCP_18,OCP,HARD,JAVA,DIP,ISP,ISP,DIP,False,False,both_wrong,4,4,240.18,475.52
OCP_19,OCP,HARD,JAVA,DIP,SRP,DIP,OCP,False,True,off_only,4,4,306.69,1307.88
OCP_20,OCP,HARD,JAVA,OCP,DIP,SRP,DIP,True,False,on_only,4,4,257.64,881.61
OCP_21,OCP,MODERATE,JAVA,OCP,SRP,OCP,SRP,True,True,both_correct,4,4,131.51,131.93
OCP_22,OCP,MODERATE,JAVA,DIP,OCP,OCP,DIP,True,True,both_correct,4,5,103.8,137.47
OCP_23,OCP,MODERATE,JAVA,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,226.24,286.84
OCP_24,OCP,MODERATE,JAVA,DIP,SRP,DIP,SRP,False,False,both_wrong,4,4,217.84,273.9
OCP_25,OCP,EASY,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,3,3,51.17,51.28
OCP_26,OCP,EASY,KOTLIN,OCP,DIP,OCP,DIP,True,True,both_correct,3,3,49.55,61.21
OCP_27,OCP,EASY,KOTLIN,OCP,DIP,OCP,DIP,True,True,both_correct,3,3,55.61,62.3
OCP_28,OCP,EASY,KOTLIN,OCP,SRP,OCP,ISP,True,True,both_correct,4,4,61.43,71.59
OCP_29,OCP,HARD,KOTLIN,OCP,DIP,NONE,NONE,True,False,on_only,5,0,297.38,288.85
OCP_30,OCP,HARD,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,200.78,255.37
OCP_31,OCP,HARD,KOTLIN,SRP,OCP,SRP,DIP,True,False,on_only,4,4,260.23,400.48
OCP_32,OCP,HARD,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,4,5,187.27,253.43
OCP_33,OCP,MODERATE,KOTLIN,OCP,DIP,OCP,DIP,True,True,both_correct,4,4,155.96,157.49
OCP_34,OCP,MODERATE,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,2,2,75.54,90.89
OCP_35,OCP,MODERATE,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,3,3,252.52,288.37
OCP_36,OCP,MODERATE,KOTLIN,OCP,SRP,OCP,SRP,True,True,both_correct,4,4,184.1,229.94
OCP_37,OCP,EASY,PYTHON,LSP,OCP,LSP,OCP,True,True,both_correct,4,4,63.08,63.87
OCP_38,OCP,EASY,PYTHON,OCP,DIP,OCP,DIP,True,True,both_correct,3,3,58.38,70.65
OCP_39,OCP,EASY,PYTHON,OCP,DIP,OCP,DIP,True,True,both_correct,3,3,55.77,66.63
OCP_40,OCP,EASY,PYTHON,DIP,SRP,OCP,SRP,False,True,off_only,4,5,61.66,78.51
OCP_41,OCP,HARD,PYTHON,OCP,DIP,NONE,NONE,True,False,on_only,5,0,336.22,334.13
OCP_42,OCP,HARD,PYTHON,DIP,SRP,OCP,DIP,False,True,off_only,4,5,274.97,340.88
OCP_43,OCP,HARD,PYTHON,DIP,OCP,DIP,ISP,True,False,on_only,4,4,370.84,577.27
OCP_44,OCP,HARD,PYTHON,DIP,ISP,SRP,DIP,False,False,both_wrong,4,5,323.6,447.42
OCP_45,OCP,MODERATE,PYTHON,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,173.71,173.79
OCP_46,OCP,MODERATE,PYTHON,DIP,SRP,DIP,SRP,False,False,both_wrong,4,5,115.69,142.49
OCP_47,OCP,MODERATE,PYTHON,DIP,SRP,DIP,OCP,False,True,off_only,4,4,262.61,326.03
OCP_48,OCP,MODERATE,PYTHON,SRP,DIP,SRP,DIP,False,False,both_wrong,4,5,219.48,281.05
LSP_1,LSP,EASY,JAVA,LSP,SRP,LSP,SRP,True,True,both_correct,4,4,53.34,52.86
LSP_2,LSP,EASY,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,41.36,40.64
LSP_3,LSP,EASY,KOTLIN,LSP,DIP,LSP,DIP,True,True,both_correct,3,3,46.77,44.44
LSP_4,LSP,EASY,C#,LSP,SRP,LSP,SRP,True,True,both_correct,4,4,55.41,54.89
LSP_5,LSP,MODERATE,JAVA,LSP,DIP,LSP,DIP,True,True,both_correct,5,5,88.45,88.06
LSP_6,LSP,MODERATE,PYTHON,LSP,SRP,LSP,SRP,True,True,both_correct,4,4,101.96,101.73
LSP_7,LSP,MODERATE,KOTLIN,DIP,OCP,DIP,OCP,False,False,both_wrong,3,3,75.86,75.41
LSP_8,LSP,MODERATE,C#,LSP,ISP,LSP,ISP,True,True,both_correct,4,4,95.78,95.53
LSP_9,LSP,HARD,JAVA,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,345.81,347.82
LSP_10,LSP,HARD,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,273.99,271.58
LSP_11,LSP,HARD,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,210.97,209.26
LSP_12,LSP,HARD,C#,LSP,ISP,LSP,ISP,True,True,both_correct,4,4,260.76,258.87
LSP_13,LSP,EASY,JAVA,LSP,SRP,LSP,DIP,True,True,both_correct,3,4,49.37,51.79
LSP_14,LSP,EASY,PYTHON,SRP,OCP,DIP,SRP,False,False,both_wrong,2,3,43.69,49.01
LSP_15,LSP,EASY,KOTLIN,LSP,OCP,LSP,OCP,True,True,both_correct,4,5,41.73,49.91
LSP_16,LSP,EASY,C#,LSP,SRP,LSP,OCP,True,True,both_correct,4,5,50.67,51.64
LSP_17,LSP,MODERATE,JAVA,LSP,DIP,LSP,DIP,True,True,both_correct,4,4,126.9,125.45
LSP_18,LSP,MODERATE,PYTHON,SRP,OCP,SRP,OCP,False,False,both_wrong,5,5,103.35,101.79
LSP_19,LSP,MODERATE,KOTLIN,LSP,OCP,LSP,OCP,True,True,both_correct,5,5,91.85,90.06
LSP_20,LSP,MODERATE,C#,LSP,SRP,LSP,SRP,True,True,both_correct,4,4,132.24,129.71
LSP_21,LSP,HARD,JAVA,ISP,DIP,ISP,DIP,False,False,both_wrong,5,5,226.8,223.83
LSP_22,LSP,HARD,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,209.85,208.02
LSP_23,LSP,HARD,KOTLIN,ISP,DIP,ISP,DIP,False,False,both_wrong,4,4,211.48,209.1
LSP_24,LSP,HARD,C#,LSP,SRP,LSP,SRP,True,True,both_correct,5,5,361.28,293.19
LSP_25,LSP,EASY,JAVA,DIP,OCP,DIP,OCP,False,False,both_wrong,4,4,52.9,59.69
LSP_26,LSP,EASY,PYTHON,DIP,OCP,DIP,OCP,False,False,both_wrong,4,4,44.77,52.92
LSP_27,LSP,EASY,KOTLIN,DIP,OCP,DIP,OCP,False,False,both_wrong,3,3,56.07,54.69
LSP_28,LSP,EASY,C#,DIP,OCP,DIP,OCP,False,False,both_wrong,3,3,63.09,61.67
LSP_29,LSP,MODERATE,JAVA,DIP,ISP,DIP,ISP,False,False,both_wrong,4,4,109.83,133.23
LSP_30,LSP,MODERATE,PYTHON,LSP,DIP,LSP,DIP,True,True,both_correct,4,4,145.47,143.86
LSP_31,LSP,MODERATE,KOTLIN,LSP,DIP,LSP,DIP,True,True,both_correct,4,4,135.92,143.31
LSP_32,LSP,MODERATE,C#,DIP,LSP,DIP,LSP,True,True,both_correct,5,5,161.04,159.26
LSP_33,LSP,HARD,JAVA,LSP,DIP,LSP,DIP,True,True,both_correct,5,5,446.78,824.39
LSP_34,LSP,HARD,PYTHON,LSP,DIP,LSP,DIP,True,True,both_correct,5,5,224.22,240.86
LSP_35,LSP,HARD,KOTLIN,LSP,DIP,LSP,DIP,True,True,both_correct,5,5,1253.57,605.63
LSP_36,LSP,HARD,C#,LSP,DIP,LSP,DIP,True,True,both_correct,5,5,313.31,309.65
LSP_37,LSP,EASY,JAVA,LSP,SRP,LSP,SRP,True,True,both_correct,3,3,47.21,55.7
LSP_38,LSP,EASY,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,3,4,51.01,51.26
LSP_39,LSP,EASY,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,3,4,46.32,50.72
LSP_40,LSP,EASY,C#,LSP,ISP,LSP,ISP,True,True,both_correct,2,3,56.49,69.4
LSP_41,LSP,MODERATE,JAVA,LSP,SRP,LSP,SRP,True,True,both_correct,5,5,94.82,98.94
LSP_42,LSP,MODERATE,PYTHON,LSP,SRP,LSP,SRP,True,True,both_correct,5,5,97.29,98.06
LSP_43,LSP,MODERATE,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,94.27,96.18
LSP_44,LSP,MODERATE,C#,LSP,SRP,LSP,SRP,True,True,both_correct,5,5,119.32,122.13
LSP_45,LSP,HARD,JAVA,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,227.28,232.94
LSP_46,LSP,HARD,PYTHON,ISP,DIP,ISP,DIP,False,False,both_wrong,5,5,197.01,201.61
LSP_47,LSP,HARD,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,199.5,220.95
LSP_48,LSP,HARD,C#,LSP,SRP,LSP,SRP,True,True,both_correct,5,5,252.28,258.03
ISP_1,ISP,EASY,CSHARP,ISP,LSP,ISP,LSP,True,True,both_correct,2,3,68.06,75.37
ISP_2,ISP,EASY,CSHARP,LSP,ISP,LSP,ISP,True,True,both_correct,4,5,85.46,98.78
ISP_3,ISP,EASY,CSHARP,ISP,OCP,ISP,OCP,True,True,both_correct,2,4,42.63,66.34
ISP_4,ISP,EASY,CSHARP,LSP,ISP,LSP,ISP,True,True,both_correct,3,4,53.02,63.92
ISP_5,ISP,HARD,CSHARP,ISP,DIP,LSP,ISP,True,True,both_correct,4,5,210.77,260.82
ISP_6,ISP,HARD,CSHARP,ISP,DIP,ISP,LSP,True,True,both_correct,4,5,224.72,253.19
ISP_7,ISP,HARD,CSHARP,ISP,OCP,ISP,DIP,True,True,both_correct,3,5,153.8,262.18
ISP_8,ISP,HARD,CSHARP,ISP,SRP,ISP,SRP,True,True,both_correct,4,5,253.21,274.53
ISP_9,ISP,MODERATE,CSHARP,ISP,OCP,ISP,LSP,True,True,both_correct,3,4,153.09,191.69
ISP_10,ISP,MODERATE,CSHARP,LSP,ISP,LSP,ISP,True,True,both_correct,4,5,198.43,239.68
ISP_11,ISP,MODERATE,CSHARP,ISP,SRP,ISP,OCP,True,True,both_correct,3,4,79.18,111.21
ISP_12,ISP,MODERATE,CSHARP,ISP,DIP,LSP,ISP,True,True,both_correct,4,5,158.68,203.39
ISP_13,ISP,EASY,JAVA,LSP,ISP,LSP,ISP,True,True,both_correct,3,3,96.18,94.58
ISP_14,ISP,EASY,JAVA,ISP,OCP,LSP,ISP,True,True,both_correct,3,5,71.56,94.46
ISP_15,ISP,EASY,JAVA,ISP,OCP,SRP,ISP,True,True,both_correct,2,5,45.17,67.76
ISP_16,ISP,EASY,JAVA,ISP,NONE,ISP,LSP,True,True,both_correct,1,3,35.64,48.51
ISP_17,ISP,HARD,JAVA,ISP,DIP,ISP,DIP,True,True,both_correct,4,4,211.0,271.98
ISP_18,ISP,HARD,JAVA,ISP,DIP,ISP,LSP,True,True,both_correct,4,5,242.85,245.88
ISP_19,ISP,HARD,JAVA,ISP,OCP,LSP,ISP,True,True,both_correct,3,5,169.04,277.2
ISP_20,ISP,HARD,JAVA,SRP,ISP,LSP,ISP,True,True,both_correct,4,5,261.57,256.34
ISP_21,ISP,MODERATE,JAVA,ISP,DIP,LSP,ISP,True,True,both_correct,2,3,175.45,219.76
ISP_22,ISP,MODERATE,JAVA,ISP,LSP,ISP,LSP,True,True,both_correct,4,5,211.76,252.38
ISP_23,ISP,MODERATE,JAVA,ISP,OCP,ISP,OCP,True,True,both_correct,2,4,69.58,109.5
ISP_24,ISP,MODERATE,JAVA,ISP,DIP,ISP,LSP,True,True,both_correct,4,5,129.42,159.94
ISP_25,ISP,EASY,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,76.67,75.01
ISP_26,ISP,EASY,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,3,4,84.17,88.1
ISP_27,ISP,EASY,KOTLIN,ISP,OCP,ISP,OCP,True,True,both_correct,2,3,50.31,57.74
ISP_28,ISP,EASY,KOTLIN,ISP,LSP,ISP,LSP,True,True,both_correct,2,3,44.82,50.63
ISP_29,ISP,HARD,KOTLIN,ISP,SRP,ISP,LSP,True,True,both_correct,5,5,264.08,261.0
ISP_30,ISP,HARD,KOTLIN,ISP,LSP,ISP,LSP,True,True,both_correct,3,4,173.45,182.48
ISP_31,ISP,HARD,KOTLIN,ISP,SRP,ISP,SRP,True,True,both_correct,5,5,262.58,253.19
ISP_32,ISP,HARD,KOTLIN,LSP,SRP,LSP,SRP,False,False,both_wrong,5,5,274.71,272.47
ISP_33,ISP,MODERATE,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,4,4,187.61,185.43
ISP_34,ISP,MODERATE,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,3,4,148.57,194.96
ISP_35,ISP,MODERATE,KOTLIN,ISP,OCP,ISP,OCP,True,True,both_correct,3,4,77.02,95.38
ISP_36,ISP,MODERATE,KOTLIN,LSP,ISP,LSP,ISP,True,True,both_correct,4,4,144.13,142.63
ISP_37,ISP,EASY,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,4,5,72.44,83.82
ISP_38,ISP,EASY,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,4,5,91.13,105.51
ISP_39,ISP,EASY,PYTHON,ISP,SRP,ISP,SRP,True,True,both_correct,3,4,55.62,63.46
ISP_40,ISP,EASY,PYTHON,ISP,LSP,ISP,LSP,True,True,both_correct,3,4,49.25,52.68
ISP_41,ISP,HARD,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,215.53,210.12
ISP_42,ISP,HARD,PYTHON,ISP,LSP,ISP,LSP,True,True,both_correct,4,5,273.04,330.75
ISP_43,ISP,HARD,PYTHON,NONE,NONE,ISP,OCP,False,True,off_only,0,5,137.51,163.5
ISP_44,ISP,HARD,PYTHON,LSP,OCP,LSP,SRP,False,False,both_wrong,5,5,275.4,284.76
ISP_45,ISP,MODERATE,PYTHON,ISP,SRP,ISP,SRP,True,True,both_correct,4,4,203.15,200.73
ISP_46,ISP,MODERATE,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,3,4,182.11,217.45
ISP_47,ISP,MODERATE,PYTHON,ISP,LSP,ISP,LSP,True,True,both_correct,3,4,81.75,90.92
ISP_48,ISP,MODERATE,PYTHON,LSP,ISP,LSP,ISP,True,True,both_correct,5,5,157.82,155.63
DIP_1,DIP,EASY,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,44.47,51.83
DIP_2,DIP,EASY,PYTHON,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,39.13,47.43
DIP_3,DIP,EASY,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,37.95,45.65
DIP_4,DIP,EASY,C#,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,46.65,56.29
DIP_5,DIP,MODERATE,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,72.22,81.61
DIP_6,DIP,MODERATE,PYTHON,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,66.49,87.65
DIP_7,DIP,MODERATE,KOTLIN,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,79.27,92.87
DIP_8,DIP,MODERATE,C#,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,68.35,87.05
DIP_9,DIP,HARD,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,170.98,202.18
DIP_10,DIP,HARD,PYTHON,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,167.08,191.6
DIP_11,DIP,HARD,KOTLIN,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,145.5,181.47
DIP_12,DIP,HARD,C#,DIP,SRP,DIP,SRP,True,True,both_correct,4,5,179.63,213.43
DIP_13,DIP,EASY,JAVA,DIP,OCP,DIP,OCP,True,True,both_correct,3,3,39.15,48.26
DIP_14,DIP,EASY,PYTHON,DIP,OCP,DIP,OCP,True,True,both_correct,3,3,41.28,46.58
DIP_15,DIP,EASY,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,2,2,39.63,45.16
DIP_16,DIP,EASY,C#,DIP,OCP,DIP,OCP,True,True,both_correct,3,3,37.73,45.2
DIP_17,DIP,MODERATE,JAVA,SRP,OCP,SRP,DIP,False,True,off_only,4,4,74.94,86.76
DIP_18,DIP,MODERATE,PYTHON,DIP,OCP,DIP,OCP,True,True,both_correct,4,5,61.75,71.39
DIP_19,DIP,MODERATE,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,70.91,81.99
DIP_20,DIP,MODERATE,C#,OCP,DIP,DIP,OCP,True,True,both_correct,4,4,67.12,79.42
DIP_21,DIP,HARD,JAVA,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,198.16,236.42
DIP_22,DIP,HARD,PYTHON,OCP,DIP,DIP,OCP,True,True,both_correct,4,4,187.39,215.87
DIP_23,DIP,HARD,KOTLIN,DIP,SRP,DIP,OCP,True,True,both_correct,4,4,174.44,211.66
DIP_24,DIP,HARD,C#,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,154.24,197.48
DIP_25,DIP,EASY,JAVA,SRP,DIP,DIP,OCP,True,True,both_correct,4,3,56.23,58.5
DIP_26,DIP,EASY,PYTHON,SRP,ISP,DIP,SRP,False,True,off_only,3,4,36.56,52.07
DIP_27,DIP,EASY,KOTLIN,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,43.17,51.06
DIP_28,DIP,EASY,C#,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,55.28,66.23
DIP_29,DIP,MODERATE,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,78.71,98.68
DIP_30,DIP,MODERATE,PYTHON,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,73.44,83.16
DIP_31,DIP,MODERATE,KOTLIN,SRP,DIP,SRP,DIP,True,True,both_correct,4,4,68.75,78.15
DIP_32,DIP,MODERATE,C#,DIP,ISP,DIP,ISP,True,True,both_correct,4,4,75.69,92.56
DIP_33,DIP,HARD,JAVA,SRP,DIP,SRP,DIP,True,True,both_correct,4,4,144.36,175.82
DIP_34,DIP,HARD,PYTHON,SRP,DIP,SRP,DIP,True,True,both_correct,4,4,157.87,186.72
DIP_35,DIP,HARD,KOTLIN,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,201.73,250.43
DIP_36,DIP,HARD,C#,SRP,DIP,SRP,DIP,True,True,both_correct,4,4,235.26,278.96
DIP_37,DIP,EASY,JAVA,DIP,OCP,DIP,OCP,True,True,both_correct,3,3,43.29,51.93
DIP_38,DIP,EASY,PYTHON,DIP,OCP,DIP,OCP,True,True,both_correct,2,2,41.71,48.61
DIP_39,DIP,EASY,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,2,2,42.22,46.17
DIP_40,DIP,EASY,C#,DIP,OCP,DIP,OCP,True,True,both_correct,2,3,44.97,48.35
DIP_41,DIP,MODERATE,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,78.44,93.72
DIP_42,DIP,MODERATE,PYTHON,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,62.05,74.86
DIP_43,DIP,MODERATE,KOTLIN,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,69.98,80.02
DIP_44,DIP,MODERATE,C#,DIP,SRP,DIP,OCP,True,True,both_correct,4,4,74.07,81.73
DIP_45,DIP,HARD,JAVA,DIP,SRP,DIP,SRP,True,True,both_correct,4,4,161.51,185.15
DIP_46,DIP,HARD,PYTHON,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,135.21,154.49
DIP_47,DIP,HARD,KOTLIN,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,142.12,171.05
DIP_48,DIP,HARD,C#,DIP,OCP,DIP,OCP,True,True,both_correct,4,4,151.56,176.44
