model,model_key,violation_type,expected_violation,detected_violation,violation_match,status,failure_reason,language,item_id,response_length
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,22,345
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,C#,23,2823
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,DIP,False,FAIL,WRONG_VIOLATION,JAVA,24,253
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,25,442
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,26,251
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,DIP,False,FAIL,WRONG_VIOLATION,C#,27,255
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,DIP,False,FAIL,WRONG_VIOLATION,JAVA,28,1950
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,PYTHON,29,281
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,30,2780
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,C#,31,370
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,32,3695
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,33,4060
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,34,3984
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,35,6864
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,JAVA,36,372
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,PYTHON,37,262
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,KOTLIN,38,443
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,C#,39,383
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,JAVA,40,359
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,PYTHON,41,348
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,KOTLIN,42,476
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,C#,43,537
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,44,421
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,45,430
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,46,420
qwen2.5-coder32b,lsp--qwen2.5-coder32b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,C#,47,594
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,JAVA,0,257
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,PYTHON,1,237
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,KOTLIN,2,235
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,C#,3,240
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,JAVA,4,236
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,PYTHON,5,260
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,KOTLIN,6,254
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,C#,7,230
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,JAVA,8,278
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,PYTHON,9,205
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,KOTLIN,10,328
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,C#,11,278
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,JAVA,12,324
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,PYTHON,13,246
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,KOTLIN,14,354
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,C#,15,354
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,16,323
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,17,270
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,KOTLIN,18,442
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,C#,19,458
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,20,330
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,21,283
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,KOTLIN,22,273
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,23,340
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,DIP,False,FAIL,WRONG_VIOLATION,JAVA,24,278
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,DIP,False,FAIL,WRONG_VIOLATION,PYTHON,25,147
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,26,264
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,DIP,False,FAIL,WRONG_VIOLATION,C#,27,277
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,28,259
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,PYTHON,29,350
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,30,236
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,C#,31,247
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,JAVA,32,405
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,PYTHON,33,223
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,34,276
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,35,349
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,JAVA,36,208
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,PYTHON,37,206
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,KOTLIN,38,208
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,C#,39,208
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,JAVA,40,208
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,PYTHON,41,217
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,KOTLIN,42,316
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,C#,43,256
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,44,265
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,PYTHON,45,305
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,KOTLIN,46,299
gpt-4o-mini,lsp--gpt-4o-mini--example,LSP,LSP,LSP,True,PASS,,C#,47,267
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,JAVA,0,1642
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,PYTHON,1,337
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,KOTLIN,2,411
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,C#,3,481
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,4,519
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,5,2582
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,6,2806
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,7,2931
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,8,1946
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,9,575
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,10,3466
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,11,866
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,JAVA,12,667
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,13,168
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,KOTLIN,14,517
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,C#,15,531
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,16,1451
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,17,335
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,18,1140
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,19,1284
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,20,2263
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,21,169
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,22,920
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,23,6970
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,24,1621
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,25,300
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,26,2197
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,NONE,False,FAIL,WRONG_VIOLATION,C#,27,573
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,28,1260
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,29,125
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,30,928
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,31,924
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,32,25
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,33,792
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,34,2797
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,35,3364
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,JAVA,36,1647
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,37,1328
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,KOTLIN,38,461
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,True,FAIL,EXTRACTION_FAILED,C#,39,585
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,40,325
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,41,866
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,42,2841
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,43,1019
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,44,568
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,45,287
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,46,133
codellama70b,lsp--codellama70b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,47,1073
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,JAVA,0,557
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,1,921
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,LSP,True,PASS,,KOTLIN,2,539
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,C#,3,355
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,4,352
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,5,1240
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,KOTLIN,6,1437
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,7,609
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,8,2942
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,9,2738
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,10,1963
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,11,2078
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,JAVA,12,1185
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,PYTHON,13,1241
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,14,746
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,C#,15,968
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,JAVA,16,677
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,17,409
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,18,1515
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,19,705
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,20,1825
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,21,3380
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,22,2613
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,23,1743
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,24,643
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,25,541
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,KOTLIN,26,359
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,27,665
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,28,764
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,29,1395
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,KOTLIN,30,564
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,31,454
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,32,1375
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,33,2368
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,34,1338
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,35,1527
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,36,401
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,37,522
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,OCP,False,FAIL,WRONG_VIOLATION,KOTLIN,38,902
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,39,1034
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,JAVA,40,708
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,PYTHON,41,354
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,KOTLIN,42,716
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,SRP,False,FAIL,WRONG_VIOLATION,C#,43,754
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,JAVA,44,1253
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,PYTHON,45,1635
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,KOTLIN,46,997
deepseek33b,lsp--deepseek33b-temp0-latest--example,LSP,LSP,,False,FAIL,EXTRACTION_FAILED,C#,47,1285
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,0,911
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,1,844
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,2,1012
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,3,531
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,4,917
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,5,1382
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,6,4625
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,7,1100
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,8,527
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,9,1148
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,10,1072
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,CSHARP,11,860
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,12,1255
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,13,900
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,14,826
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,15,568
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,16,473
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,17,1800
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,18,905
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,19,1014
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,20,2716
codellama70b,isp--codellama70b-temp0-latest--example,ISP,ISP,,False,FAIL,EXTRACTION_FAILED,JAVA,21,1194
